編號,使用品牌,去頭皮屑,保濕,熱油護髮,止癢,香味,防止分岔,柔順,整體效果
185 ,10,5,5,4,5,4,4,4,4
186 ,10,4,5,5,5,4,4,4,5
187 ,10,5,5,3,5,4,5,5,5
188 ,2,4,5,4,5,4,4,5,4
189 ,7,4,4,4,4,5,5,5,5
190 ,2,3,2,3,3,2,3,2,3
191 ,0,3,4,3,5,3,3,3,3
192 ,0,5,5,4,5,4,4,4,4
193 ,0,3,1,4,1,2,4,5,2
194 ,0,5,3,4,1,3,4,5,3
195 ,0,3,5,4,3,4,5,5,5
196 ,0,3,4,4,3,4,4,5,4
197 ,10,4,5,4,5,4,4,5,5
198 ,0,5,5,4,5,4,4,5,5
199 ,0,4,5,5,5,3,5,5,5
200 ,0,4,2,2,2,2,2,2,2
201 ,0,5,5,4,5,4,5,5,5
202 ,0,4,5,5,4,4,5,5,5
203 ,0,4,5,5,5,5,5,5,5
204 ,7,4,5,5,5,5,5,5,5
205 ,0,5,5,5,5,5,5,5,5
206 ,0,4,3,4,4,4,2,4,4
207 ,3,4,4,2,3,4,4,4,4
208 ,0,4,5,4,4,3,4,4,4
209 ,0,5,3,2,4,3,3,4,4
210 ,0,4,4,4,4,4,4,4,4
211 ,0,3,3,3,3,3,3,3,3
212 ,1,4,5,4,0,4,5,5,3
213 ,5,3,3,3,3,3,3,3,3
214 ,0,3,5,4,3,4,4,4,4
215 ,3,4,5,5,4,2,5,4,3
216 ,0,4,4,3,3,4,3,5,4
217 ,2,5,5,5,4,2,5,5,4
218 ,0,3,5,3,3,5,3,5,5
219 ,10,4,5,2,5,5,1,5,4
220 ,0,4,4,4,4,4,4,4,4
221 ,0,3,3,3,3,3,3,3,3
222 ,2,3,4,3,0,3,2,3,2
223 ,2,3,4,3,4,3,4,3,2
224 ,0,3,3,3,3,3,3,3,3
225 ,0,2,3,3,4,4,2,3,3
226 ,5,3,3,2,2,3,1,2,3
227 ,0,4,4,3,4,4,4,3,4
228 ,2,3,4,3,3,3,5,4,3
229 ,0,3,3,4,3,5,4,3,2
230 ,0,3,2,3,4,4,4,4,4
231 ,0,2,2,2,4,4,4,4,4
232 ,7,5,4,4,5,5,3,4,4
233 ,0,2,2,2,2,2,2,2,3
234 ,2,3,4,3,3,5,4,4,5
235 ,0,3,4,3,3,3,3,3,3
236 ,7,3,5,4,5,3,5,5,5
237 ,1,5,4,5,5,5,5,5,4
238 ,0,4,3,3,4,3,3,4,4
239 ,0,5,3,5,5,3,3,5,3
240 ,0,4,4,3,3,4,3,3,3
241 ,0,4,4,3,3,3,3,4,4
242 ,0,4,4,3,3,4,4,4,4
243 ,0,3,2,4,3,3,4,3,4
244 ,0,3,3,3,3,2,3,2,3
245 ,0,4,3,4,4,3,5,3,4
246 ,10,4,3,3,3,5,3,4,3
247 ,2,3,2,3,2,4,3,3,2
248 ,0,3,3,3,3,3,3,3,3
249 ,10,3,4,3,2,3,4,3,3
250 ,2,3,4,3,3,3,4,2,3
251 ,5,4,3,4,3,1,2,4,4
252 ,0,2,3,3,3,3,3,2,3
253 ,1,3,4,3,3,4,4,4,3
254 ,0,4,3,5,5,4,5,4,3
255 ,0,3,4,3,2,4,3,4,3
256 ,0,5,3,3,5,4,3,4,2
257 ,0,5,3,3,4,3,3,3,4
258 ,0,1,2,5,3,5,5,5,5
259 ,0,5,5,4,5,5,5,5,5
260 ,0,4,4,4,2,4,2,2,2
261 ,0,5,2,2,4,4,3,4,4
262 ,10,4,3,1,5,4,4,4,4
263 ,0,4,1,1,5,2,2,2,5
264 ,10,1,1,5,4,5,2,2,5
265 ,10,5,5,5,5,5,3,5,4
266 ,0,5,4,2,5,4,5,5,5
267 ,0,4,4,4,4,2,4,4,4
268 ,10,4,2,2,5,2,4,4,4
269 ,0,4,5,5,5,3,5,5,4
270 ,1,4,3,3,3,4,4,4,4
271 ,7,1,4,2,1,4,4,5,4
272 ,7,4,4,4,4,1,2,5,5
273 ,0,3,5,3,3,4,4,5,5
274 ,0,3,4,3,4,4,3,4,4
275 ,0,5,5,4,4,2,3,5,5
276 ,0,4,4,4,4,3,4,4,3
277 ,0,3,5,4,4,4,5,5,5
278 ,0,3,3,3,3,3,3,3,3
279 ,0,4,5,5,4,4,5,5,3
280 ,3,3,4,4,3,3,3,4,4
281 ,5,4,5,4,5,3,4,4,3
282 ,3,4,4,4,4,4,4,4,4
283 ,5,4,5,5,3,5,3,5,5
284 ,2,4,3,4,3,4,3,4,4
285 ,10,1,2,2,5,1,3,5,5
286 ,10,5,2,2,5,5,5,1,5
287 ,7,4,4,2,4,4,4,5,3
288 ,7,4,2,3,4,4,3,5,4
289 ,1,5,4,5,3,5,4,3,4
290 ,0,4,4,4,5,4,4,4,4
291 ,0,4,3,3,5,4,4,4,5
292 ,0,3,3,3,4,2,2,2,4
293 ,0,4,4,4,4,4,4,4,3
294 ,0,4,5,5,5,4,5,5,4
295 ,0,4,3,3,4,3,4,3,4
296 ,0,5,2,1,4,4,3,4,5
297 ,0,3,2,4,5,3,4,4,4
298 ,0,5,5,5,5,4,5,5,4
299 ,0,3,3,3,4,5,3,4,3
300 ,0,4,4,3,4,3,4,4,4
301 ,10,4,4,3,4,4,4,4,4
